Produkt,Cena,Nazwa alejki,Numer alejki,Półka,Kategoria produktu
Marchew wczesna,"4,20 zł/kg",Owoce i Warzywa,3,Półka 1, Warzywa korzeniowe
Marchew późna,"3,50 zł/kg",Owoce i Warzywa,3,Półka 1, Warzywa korzeniowe
Pietruszka wczesna,"7,00 zł/kg",Owoce i Warzywa,3,Półka 1, Warzywa korzeniowe
Pietruszka późna,"6,00 zł/kg",Owoce i Warzywa,3,Półka 1, Warzywa korzeniowe
Seler wczesny,"4,50 zł/kg",Owoce i Warzywa,3,Półka 1, Warzywa korzeniowe
Seler późny,"3,80 zł/kg",Owoce i Warzywa,3,Półka 1, Warzywa korzeniowe
Burak wczesny,"3,00 zł/kg",Owoce i Warzywa,3,Półka 1, Warzywa korzeniowe
Burak późny,"2,60 zł/kg",Owoce i Warzywa,3,Półka 1, Warzywa korzeniowe
Rzodkiew japońska,"9,00 zł/kg",Owoce i Warzywa,3,Półka 1, Warzywa korzeniowe
Rzodkiew hiszpańska,"8,50 zł/kg",Owoce i Warzywa,3,Półka 1, Warzywa korzeniowe
Marchew paryska,"5,50 zł/kg",Owoce i Warzywa,3,Półka 1, Warzywa korzeniowe
Pietruszka berlińska,"7,50 zł/kg",Owoce i Warzywa,3,Półka 1, Warzywa korzeniowe
Seler praski,"4,20 zł/kg",Owoce i Warzywa,3,Półka 1, Warzywa korzeniowe
Burak egipski,"4,00 zł/kg",Owoce i Warzywa,3,Półka 1, Warzywa korzeniowe
Marchew nantejska,"3,80 zł/kg",Owoce i Warzywa,3,Półka 1, Warzywa korzeniowe
Pietruszka hamburska,"6,80 zł/kg",Owoce i Warzywa,3,Półka 1, Warzywa korzeniowe
Seler jabłkowy,"4,50 zł/kg",Owoce i Warzywa,3,Półka 1, Warzywa korzeniowe
Burak cukrowy,"3,20 zł/kg",Owoce i Warzywa,3,Półka 1, Warzywa korzeniowe
Jabłka,"4,00 zł/kg",Owoce i Warzywa,3,Półka 2, Owoce sezonowe
Gruszki,"4,50 zł/kg4",Owoce i Warzywa,3,Półka 2, Owoce sezonowe
Śliwki,"5,50 zł/kg4",Owoce i Warzywa,3,Półka 2, Owoce sezonowe
Maliny,"24,00 zł/kg4",Owoce i Warzywa,3,Półka 2, Owoce sezonowe
Jeżyny,"10,00 zł/kg4",Owoce i Warzywa,3,Półka 2, Owoce sezonowe
Brzoskwinie,"5,00 zł/kg4",Owoce i Warzywa,3,Półka 2, Owoce sezonowe
Nektarynki,"5,00 zł/kg4",Owoce i Warzywa,3,Półka 2, Owoce sezonowe
Winogrona białe,"15,00 zł/kg4",Owoce i Warzywa,3,Półka 2, Owoce sezonowe
Winogrona ciemne,"9,00 zł/kg4",Owoce i Warzywa,3,Półka 2, Owoce sezonowe
Truskawki,"30,00 zł/kg4",Owoce i Warzywa,3,Półka 2, Owoce sezonowe
Morele,"8,50 zł/kg",Owoce i Warzywa,3,Półka 2, Owoce sezonowe
Czereśnie,"18,90 zł/kg2",Owoce i Warzywa,3,Półka 2, Owoce sezonowe
Agrest,"12,00 zł/kg",Owoce i Warzywa,3,Półka 2, Owoce sezonowe
Porzeczki czerwone,"15,00 zł/kg",Owoce i Warzywa,3,Półka 2, Owoce sezonowe
Porzeczki czarne,"18,00 zł/kg",Owoce i Warzywa,3,Półka 2, Owoce sezonowe
Borówka amerykańska,"55,00 zł/kg4",Owoce i Warzywa,3,Półka 2, Owoce sezonowe
Aronia,"8,00 zł/kg",Owoce i Warzywa,3,Półka 2, Owoce sezonowe
Żurawina,"20,00 zł/kg",Owoce i Warzywa,3,Półka 2, Owoce sezonowe
Jagody,"35,00 zł/kg",Owoce i Warzywa,3,Półka 2, Owoce sezonowe
Poziomki,"40,00 zł/kg",Owoce i Warzywa,3,Półka 2, Owoce sezonowe
Mirabelki,"7,00 zł/kg",Owoce i Warzywa,3,Półka 2, Owoce sezonowe
Renklody,"6,50 zł/kg",Owoce i Warzywa,3,Półka 2, Owoce sezonowe
Pigwa,"9,00 zł/kg",Owoce i Warzywa,3,Półka 2, Owoce sezonowe
Derenie,"12,00 zł/kg",Owoce i Warzywa,3,Półka 2, Owoce sezonowe
Rokitnik,"25,00 zł/kg",Owoce i Warzywa,3,Półka 2, Owoce sezonowe
Jarzębina,"15,00 zł/kg",Owoce i Warzywa,3,Półka 2, Owoce sezonowe
Głóg,"10,00 zł/kg",Owoce i Warzywa,3,Półka 2, Owoce sezonowe
Tarnina,"8,00 zł/kg",Owoce i Warzywa,3,Półka 2, Owoce sezonowe
Bez czarny,"12,00 zł/kg",Owoce i Warzywa,3,Półka 2, Owoce sezonowe
Gruszki konferencja,"5,00 zł/kg",Owoce i Warzywa,3,Półka 2, Owoce sezonowe
Gruszki azjatyckie,"8,00 zł/kg",Owoce i Warzywa,3,Półka 2, Owoce sezonowe
Jabłka gala,"4,50 zł/kg",Owoce i Warzywa,3,Półka 2, Owoce sezonowe
Jabłka golden,"4,20 zł/kg",Owoce i Warzywa,3,Półka 2, Owoce sezonowe
Jabłka jonagold,"4,30 zł/kg",Owoce i Warzywa,3,Półka 2, Owoce sezonowe
Jabłka champion,"4,40 zł/kg",Owoce i Warzywa,3,Półka 2, Owoce sezonowe
Jabłka ligol,"4,10 zł/kg",Owoce i Warzywa,3,Półka 2, Owoce sezonowe
Śliwki węgierki,"6,50 zł/kg",Owoce i Warzywa,3,Półka 2, Owoce sezonowe
Śliwki renklody,"7,00 zł/kg",Owoce i Warzywa,3,Półka 2, Owoce sezonowe
Wiśnie,"15,00 zł/kg",Owoce i Warzywa,3,Półka 2, Owoce sezonowe
Morwa,"20,00 zł/kg",Owoce i Warzywa,3,Półka 2, Owoce sezonowe
Brzoskwinie białe,"6,00 zł/kg",Owoce i Warzywa,3,Półka 2, Owoce sezonowe
Brzoskwinie żółte,"5,50 zł/kg",Owoce i Warzywa,3,Półka 2, Owoce sezonowe
Nektarynki białe,"6,00 zł/kg",Owoce i Warzywa,3,Półka 2, Owoce sezonowe
Nektarynki żółte,"5,50 zł/kg",Owoce i Warzywa,3,Półka 2, Owoce sezonowe
Winogrona bezpestkowe,"18,00 zł/kg",Owoce i Warzywa,3,Półka 2, Owoce sezonowe
Winogrona różowe,"16,00 zł/kg",Owoce i Warzywa,3,Półka 2, Owoce sezonowe
Maliny jesienne,"28,00 zł/kg",Owoce i Warzywa,3,Półka 2, Owoce sezonowe
Jeżyny ogrodowe,"12,00 zł/kg",Owoce i Warzywa,3,Półka 2, Owoce sezonowe
Aronia czarna,"9,00 zł/kg",Owoce i Warzywa,3,Półka 2, Owoce sezonowe
Pigwowiec,"10,00 zł/kg",Owoce i Warzywa,3,Półka 2, Owoce sezonowe
Pomarańcze,"6,49 zł/kg7",Owoce i Warzywa,3,Półka 3, Cytrusy
Cytryny,"6,00 zł/kg4",Owoce i Warzywa,3,Półka 3, Cytrusy
Mandarynki,"8,99 zł/kg3",Owoce i Warzywa,3,Półka 3, Cytrusy
Grejpfruty,"6,00 zł/kg4",Owoce i Warzywa,3,Półka 3, Cytrusy
Limonki,"15,00 zł/kg",Owoce i Warzywa,3,Półka 3, Cytrusy
Kumkwaty,"35,00 zł/kg",Owoce i Warzywa,3,Półka 3, Cytrusy
Pomelo,"7,00 zł/kg4",Owoce i Warzywa,3,Półka 3, Cytrusy
Klementynki,"9,50 zł/kg",Owoce i Warzywa,3,Półka 3, Cytrusy
Tangelo,"12,00 zł/kg",Owoce i Warzywa,3,Półka 3, Cytrusy
Yuzu,"45,00 zł/kg",Owoce i Warzywa,3,Półka 3, Cytrusy
Bergamotka,"30,00 zł/kg",Owoce i Warzywa,3,Półka 3, Cytrusy
Citron,"25,00 zł/kg",Owoce i Warzywa,3,Półka 3, Cytrusy
Kalamansi,"40,00 zł/kg",Owoce i Warzywa,3,Półka 3, Cytrusy
Mineola,"14,00 zł/kg",Owoce i Warzywa,3,Półka 3, Cytrusy
Pomarańcze czerwone,"8,00 zł/kg",Owoce i Warzywa,3,Półka 3, Cytrusy
Pomarańcze valencia,"7,50 zł/kg",Owoce i Warzywa,3,Półka 3, Cytrusy
Pomarańcze navel,"7,00 zł/kg",Owoce i Warzywa,3,Półka 3, Cytrusy
Cytryny meyer,"8,00 zł/kg",Owoce i Warzywa,3,Półka 3, Cytrusy
Cytryny eureka,"7,00 zł/kg",Owoce i Warzywa,3,Półka 3, Cytrusy
Cytryny lisbon,"7,50 zł/kg",Owoce i Warzywa,3,Półka 3, Cytrusy
Mandarynki satsuma,"9,50 zł/kg",Owoce i Warzywa,3,Półka 3, Cytrusy
Mandarynki clementine,"10,00 zł/kg",Owoce i Warzywa,3,Półka 3, Cytrusy
Mandarynki tangerine,"9,00 zł/kg",Owoce i Warzywa,3,Półka 3, Cytrusy
Grejpfruty różowe,"7,00 zł/kg",Owoce i Warzywa,3,Półka 3, Cytrusy
Grejpfruty białe,"6,50 zł/kg",Owoce i Warzywa,3,Półka 3, Cytrusy
Grejpfruty czerwone,"7,50 zł/kg",Owoce i Warzywa,3,Półka 3, Cytrusy
Limonki tahiti,"16,00 zł/kg",Owoce i Warzywa,3,Półka 3, Cytrusy
Limonki key,"17,00 zł/kg",Owoce i Warzywa,3,Półka 3, Cytrusy
Limonki perskie,"16,50 zł/kg",Owoce i Warzywa,3,Półka 3, Cytrusy
Kumkwaty nagami,"36,00 zł/kg",Owoce i Warzywa,3,Półka 3, Cytrusy
Kumkwaty marumi,"35,50 zł/kg",Owoce i Warzywa,3,Półka 3, Cytrusy
Pomelo honey,"8,00 zł/kg",Owoce i Warzywa,3,Półka 3, Cytrusy
Pomelo ruby,"8,50 zł/kg",Owoce i Warzywa,3,Półka 3, Cytrusy
Klementynki fina,"10,00 zł/kg",Owoce i Warzywa,3,Półka 3, Cytrusy
Klementynki orri,"10,50 zł/kg",Owoce i Warzywa,3,Półka 3, Cytrusy
Tangelo minneola,"13,00 zł/kg",Owoce i Warzywa,3,Półka 3, Cytrusy
Tangelo orlando,"12,50 zł/kg",Owoce i Warzywa,3,Półka 3, Cytrusy
Bergamotka femminello,"31,00 zł/kg",Owoce i Warzywa,3,Półka 3, Cytrusy
Citron etrog,"26,00 zł/kg",Owoce i Warzywa,3,Półka 3, Cytrusy
Citron buddha's hand,"50,00 zł/kg",Owoce i Warzywa,3,Półka 3, Cytrusy
Kalamansi golden,"41,00 zł/kg",Owoce i Warzywa,3,Półka 3, Cytrusy
Mineola tangelo,"15,00 zł/kg",Owoce i Warzywa,3,Półka 3, Cytrusy
Pomarańcze blood,"8,50 zł/kg",Owoce i Warzywa,3,Półka 3, Cytrusy
Cytryny verna,"7,20 zł/kg",Owoce i Warzywa,3,Półka 3, Cytrusy
Mandarynki murcott,"9,80 zł/kg",Owoce i Warzywa,3,Półka 3, Cytrusy
Grejpfruty marsh,"6,80 zł/kg",Owoce i Warzywa,3,Półka 3, Cytrusy
Limonki bearss,"16,80 zł/kg",Owoce i Warzywa,3,Półka 3, Cytrusy
Kumkwaty meiwa,"35,80 zł/kg",Owoce i Warzywa,3,Półka 3, Cytrusy
Pomelo chandler,"8,20 zł/kg",Owoce i Warzywa,3,Półka 3, Cytrusy
Klementynki marisol,"10,20 zł/kg",Owoce i Warzywa,3,Półka 3, Cytrusy
Sałata masłowa,"4,00 zł/szt",Owoce i Warzywa,3,Półka 4, Warzywa liściaste
Kapusta biała,"5,00 zł/kg",Owoce i Warzywa,3,Półka 4, Warzywa liściaste
Sałata lodowa,"5,50 zł/szt",Owoce i Warzywa,3,Półka 4, Warzywa liściaste
Sałata rzymska,"6,00 zł/szt",Owoce i Warzywa,3,Półka 4, Warzywa liściaste
Kapusta czerwona,"6,00 zł/kg",Owoce i Warzywa,3,Półka 4, Warzywa liściaste
Kapusta włoska,"7,00 zł/kg",Owoce i Warzywa,3,Półka 4, Warzywa liściaste
Kapusta pekińska,"8,00 zł/kg8",Owoce i Warzywa,3,Półka 4, Warzywa liściaste
Sałata karbowana,"5,00 zł/szt",Owoce i Warzywa,3,Półka 4, Warzywa liściaste
Rukola,"4,00 zł/pęczek",Owoce i Warzywa,3,Półka 4, Warzywa liściaste
Szpinak,"6,00 zł/pęczek",Owoce i Warzywa,3,Półka 4, Warzywa liściaste
Botwina,"5,00 zł/pęczek",Owoce i Warzywa,3,Półka 4, Warzywa liściaste
Jarmuż,"5,50 zł/pęczek",Owoce i Warzywa,3,Półka 4, Warzywa liściaste
Sałata dębowa,"4,50 zł/szt",Owoce i Warzywa,3,Półka 4, Warzywa liściaste
Endywia,"6,50 zł/szt",Owoce i Warzywa,3,Półka 4, Warzywa liściaste
Radicchio,"7,00 zł/szt",Owoce i Warzywa,3,Półka 4, Warzywa liściaste
Roszponka,"5,00 zł/pęczek",Owoce i Warzywa,3,Półka 4, Warzywa liściaste
Szczaw,"4,00 zł/pęczek",Owoce i Warzywa,3,Półka 4, Warzywa liściaste
Portulaka,"6,00 zł/pęczek",Owoce i Warzywa,3,Półka 4, Warzywa liściaste
Mizuna,"5,50 zł/pęczek",Owoce i Warzywa,3,Półka 4, Warzywa liściaste
Pak choi,"7,00 zł/szt",Owoce i Warzywa,3,Półka 4, Warzywa liściaste
Sałata fryzowana,"5,00 zł/szt",Owoce i Warzywa,3,Półka 4, Warzywa liściaste
Sałata batavia,"4,80 zł/szt",Owoce i Warzywa,3,Półka 4, Warzywa liściaste
Kapusta savoy,"7,50 zł/kg",Owoce i Warzywa,3,Półka 4, Warzywa liściaste
Kapusta pak choy,"8,00 zł/kg",Owoce i Warzywa,3,Półka 4, Warzywa liściaste
Sałata butterhead,"4,20 zł/szt",Owoce i Warzywa,3,Półka 4, Warzywa liściaste
Cykoria,"8,00 zł/szt",Owoce i Warzywa,3,Półka 4, Warzywa liściaste
Kapusta napa,"7,80 zł/kg",Owoce i Warzywa,3,Półka 4, Warzywa liściaste
Sałata iceberg,"5,80 zł/szt",Owoce i Warzywa,3,Półka 4, Warzywa liściaste
Kapusta chińska,"7,50 zł/kg",Owoce i Warzywa,3,Półka 4, Warzywa liściaste
Sałata oakleaf,"4,50 zł/szt",Owoce i Warzywa,3,Półka 4, Warzywa liściaste
Rukola dzika,"5,00 zł/pęczek",Owoce i Warzywa,3,Półka 4, Warzywa liściaste
Szpinak baby,"7,00 zł/pęczek",Owoce i Warzywa,3,Półka 4, Warzywa liściaste
Kapusta brukselska,"12,00 zł/kg",Owoce i Warzywa,3,Półka 4, Warzywa liściaste
Sałata lollo rosso,"4,80 zł/szt",Owoce i Warzywa,3,Półka 4, Warzywa liściaste
Sałata lollo bionda,"4,80 zł/szt",Owoce i Warzywa,3,Półka 4, Warzywa liściaste
Kapusta romanesco,"9,00 zł/kg",Owoce i Warzywa,3,Półka 4, Warzywa liściaste
Sałata radichio castelfranco,"8,00 zł/szt",Owoce i Warzywa,3,Półka 4, Warzywa liściaste
Kapusta tatsoi,"8,50 zł/kg",Owoce i Warzywa,3,Półka 4, Warzywa liściaste
Sałata frisee,"5,50 zł/szt",Owoce i Warzywa,3,Półka 4, Warzywa liściaste
Kapusta mizuna,"7,50 zł/kg",Owoce i Warzywa,3,Półka 4, Warzywa liściaste
Sałata mini romana,"4,50 zł/szt",Owoce i Warzywa,3,Półka 4, Warzywa liściaste
Kapusta choy sum,"8,20 zł/kg",Owoce i Warzywa,3,Półka 4, Warzywa liściaste
Sałata multileaf,"5,20 zł/szt",Owoce i Warzywa,3,Półka 4, Warzywa liściaste
Kapusta komatsuna,"8,00 zł/kg",Owoce i Warzywa,3,Półka 4, Warzywa liściaste
Sałata gem,"4,80 zł/szt",Owoce i Warzywa,3,Półka 4, Warzywa liściaste
Kapusta kai-lan,"9,00 zł/kg",Owoce i Warzywa,3,Półka 4, Warzywa liściaste
Sałata mache,"6,00 zł/pęczek",Owoce i Warzywa,3,Półka 4, Warzywa liściaste
Kapusta gailan,"8,80 zł/kg",Owoce i Warzywa,3,Półka 4, Warzywa liściaste
Sałata catalogna,"5,50 zł/szt",Owoce i Warzywa,3,Półka 4, Warzywa liściaste
Kapusta yu choy,"8,50 zł/kg",Owoce i Warzywa,3,Półka 4, Warzywa liściaste
Kiełbasa żywiecka extra,"39,99 zł/kg",Delikatesy,4-5,Półka 1, Wędliny
Kindziuk,"43,99 zł/kg",Delikatesy,4-5,Półka 1, Wędliny
Szynka wieprzowa wędzona,"25,99 zł/kg",Delikatesy,4-5,Półka 1, Wędliny
Polędwica drobiowa,"36,99 zł/kg",Delikatesy,4-5,Półka 1, Wędliny
Szynka parmeńska,"38,99 zł/kg",Delikatesy,4-5,Półka 1, Wędliny
Boczek wędzony,"29,90 zł/kg",Delikatesy,4-5,Półka 1, Wędliny
Karczek wędzony,"34,00 zł/kg",Delikatesy,4-5,Półka 1, Wędliny
Kiełbasa krakowska,"32,99 zł/kg",Delikatesy,4-5,Półka 1, Wędliny
Schab wędzony,"35,99 zł/kg",Delikatesy,4-5,Półka 1, Wędliny
Baleron wędzony,"31,99 zł/kg",Delikatesy,4-5,Półka 1, Wędliny
Szynka konserwowa,"28,99 zł/kg",Delikatesy,4-5,Półka 1, Wędliny
Polędwica sopocka,"37,99 zł/kg",Delikatesy,4-5,Półka 1, Wędliny
Kiełbasa podwawelska,"29,99 zł/kg",Delikatesy,4-5,Półka 1, Wędliny
Szynka z indyka,"33,99 zł/kg",Delikatesy,4-5,Półka 1, Wędliny
Kiełbasa śląska,"27,99 zł/kg",Delikatesy,4-5,Półka 1, Wędliny
Polędwica łososiowa,"39,99 zł/kg",Delikatesy,4-5,Półka 1, Wędliny
Szynka gotowana,"26,99 zł/kg",Delikatesy,4-5,Półka 1, Wędliny
Kiełbasa jałowcowa,"35,99 zł/kg",Delikatesy,4-5,Półka 1, Wędliny
Szynka wiejska,"38,99 zł/kg",Delikatesy,4-5,Półka 1, Wędliny
Kiełbasa myśliwska,"36,99 zł/kg",Delikatesy,4-5,Półka 1, Wędliny
Kabanosy wieprzowe,"38,99 zł/kg",Delikatesy,4-5,Półka 1, Wędliny
Szynka pieczona,"34,99 zł/kg",Delikatesy,4-5,Półka 1, Wędliny
Kiełbasa biała parzona,"24,99 zł/kg",Delikatesy,4-5,Półka 1, Wędliny
Polędwica z kurczaka,"31,99 zł/kg",Delikatesy,4-5,Półka 1, Wędliny
Kiełbasa szynkowa,"29,99 zł/kg",Delikatesy,4-5,Półka 1, Wędliny
Szynka złocista,"33,99 zł/kg",Delikatesy,4-5,Półka 1, Wędliny
Kiełbasa toruńska,"32,99 zł/kg",Delikatesy,4-5,Półka 1, Wędliny
Polędwica staropolska,"37,99 zł/kg",Delikatesy,4-5,Półka 1, Wędliny
Szynka tradycyjna,"35,99 zł/kg",Delikatesy,4-5,Półka 1, Wędliny
Kiełbasa wiejska,"31,99 zł/kg",Delikatesy,4-5,Półka 1, Wędliny
Szynka drobiowa,"27,99 zł/kg",Delikatesy,4-5,Półka 1, Wędliny
Kiełbasa swojska,"33,99 zł/kg",Delikatesy,4-5,Półka 1, Wędliny
Polędwica królewska,"39,99 zł/kg",Delikatesy,4-5,Półka 1, Wędliny
Szynka babuni,"34,99 zł/kg",Delikatesy,4-5,Półka 1, Wędliny
Kiełbasa polska,"30,99 zł/kg",Delikatesy,4-5,Półka 1, Wędliny
Szynka z kotła,"36,99 zł/kg",Delikatesy,4-5,Półka 1, Wędliny
Kiełbasa gospodarska,"32,99 zł/kg",Delikatesy,4-5,Półka 1, Wędliny
Polędwica z indyka,"35,99 zł/kg",Delikatesy,4-5,Półka 1, Wędliny
Szynka domowa,"33,99 zł/kg",Delikatesy,4-5,Półka 1, Wędliny
Kiełbasa rzeszowska,"31,99 zł/kg",Delikatesy,4-5,Półka 1, Wędliny
Szynka krucha,"37,99 zł/kg",Delikatesy,4-5,Półka 1, Wędliny
Kiełbasa wielkopolska,"34,99 zł/kg",Delikatesy,4-5,Półka 1, Wędliny
Polędwica wędzona,"38,99 zł/kg",Delikatesy,4-5,Półka 1, Wędliny
Szynka szlachecka,"39,99 zł/kg",Delikatesy,4-5,Półka 1, Wędliny
Kiełbasa głogowska,"33,99 zł/kg",Delikatesy,4-5,Półka 1, Wędliny
Szynka tyrolska,"35,99 zł/kg",Delikatesy,4-5,Półka 1, Wędliny
Kiełbasa beskidzka,"32,99 zł/kg",Delikatesy,4-5,Półka 1, Wędliny
Polędwica tradycyjna,"36,99 zł/kg",Delikatesy,4-5,Półka 1, Wędliny
Szynka włoska,"39,99 zł/kg",Delikatesy,4-5,Półka 1, Wędliny
Kiełbasa lisiecka,"34,99 zł/kg",Delikatesy,4-5,Półka 1, Wędliny
Ser Edamski,"28,99 zł/kg",Delikatesy,4-5,Półka 2, Sery żółte
Ser Gouda,"32,99 zł/kg",Delikatesy,4-5,Półka 2, Sery żółte
Ser Morski,"35,99 zł/kg",Delikatesy,4-5,Półka 2, Sery żółte
Ser Emmentaler,"42,99 zł/kg",Delikatesy,4-5,Półka 2, Sery żółte
Ser Cheddar,"39,99 zł/kg",Delikatesy,4-5,Półka 2, Sery żółte
Ser Salami,"34,99 zł/kg",Delikatesy,4-5,Półka 2, Sery żółte
Ser Wypasiony Premium,"29,99 zł/kg",Delikatesy,4-5,Półka 2, Sery żółte
Ser Bialski,"31,99 zł/kg",Delikatesy,4-5,Półka 2, Sery żółte
Ser Królewski,"41,99 zł/kg",Delikatesy,4-5,Półka 2, Sery żółte
Ser Złoty,"33,99 zł/kg",Delikatesy,4-5,Półka 2, Sery żółte
Ser Rycki,"36,99 zł/kg",Delikatesy,4-5,Półka 2, Sery żółte
Ser Radamer,"38,99 zł/kg",Delikatesy,4-5,Półka 2, Sery żółte
Ser Tylżycki,"37,99 zł/kg",Delikatesy,4-5,Półka 2, Sery żółte
Ser Massdamer,"40,99 zł/kg",Delikatesy,4-5,Półka 2, Sery żółte
Ser Bursztyn,"35,99 zł/kg",Delikatesy,4-5,Półka 2, Sery żółte
Ser Podlaski,"32,99 zł/kg",Delikatesy,4-5,Półka 2, Sery żółte
Ser Wędzony,"39,99 zł/kg",Delikatesy,4-5,Półka 2, Sery żółte
Ser Szwajcarski,"43,99 zł/kg",Delikatesy,4-5,Półka 2, Sery żółte
Ser Kasztelan,"34,99 zł/kg",Delikatesy,4-5,Półka 2, Sery żółte
Ser Zamojski,"31,99 zł/kg",Delikatesy,4-5,Półka 2, Sery żółte
Brie Le Maubert,"44,40 zł/kg",Delikatesy,4-5,Półka 3, Sery pleśniowe
Roquefort AOP,"79,40 zł/kg",Delikatesy,4-5,Półka 3, Sery pleśniowe
Reblochon AOP,"72,00 zł/kg",Delikatesy,4-5,Półka 3, Sery pleśniowe
Bleu d'Auvergne AOP,"56,00 zł/kg",Delikatesy,4-5,Półka 3, Sery pleśniowe
Gorgonzola Dolce DOP,"49,20 zł/kg",Delikatesy,4-5,Półka 3, Sery pleśniowe
Blue Stilton,"75,60 zł/kg",Delikatesy,4-5,Półka 3, Sery pleśniowe
Camembert,"42,99 zł/kg",Delikatesy,4-5,Półka 3, Sery pleśniowe
Saint Agur,"68,99 zł/kg",Delikatesy,4-5,Półka 3, Sery pleśniowe
Fourme d'Ambert,"56,40 zł/kg",Delikatesy,4-5,Półka 3, Sery pleśniowe
Danish Blue,"59,99 zł/kg",Delikatesy,4-5,Półka 3, Sery pleśniowe
Cambozola,"64,99 zł/kg",Delikatesy,4-5,Półka 3, Sery pleśniowe
Bleu des Causses,"71,99 zł/kg",Delikatesy,4-5,Półka 3, Sery pleśniowe
Valdeon,"66,99 zł/kg",Delikatesy,4-5,Półka 3, Sery pleśniowe
Shropshire Blue,"70,00 zł/kg",Delikatesy,4-5,Półka 3, Sery pleśniowe
Brie de Meaux,"58,99 zł/kg",Delikatesy,4-5,Półka 3, Sery pleśniowe
Bleu de Bresse,"62,99 zł/kg",Delikatesy,4-5,Półka 3, Sery pleśniowe
Castello Blue,"54,99 zł/kg",Delikatesy,4-5,Półka 3, Sery pleśniowe
Montagnolo,"69,99 zł/kg",Delikatesy,4-5,Półka 3, Sery pleśniowe
Bleu de Gex,"73,99 zł/kg",Delikatesy,4-5,Półka 3, Sery pleśniowe
Bavaria Blue,"52,99 zł/kg",Delikatesy,4-5,Półka 3, Sery pleśniowe
Paluszki ze słonym sezamem,12.99,Delikatesy,4-5,Półka 4, Przekąski delikatesowe
Krakersy solone,11.92,Delikatesy,4-5,Półka 4, Przekąski delikatesowe
Chipsy ziemniaczane paprykowe,10.81,Delikatesy,4-5,Półka 4, Przekąski delikatesowe
Chipsy kukurydziane solone,11.92,Delikatesy,4-5,Półka 4, Przekąski delikatesowe
Chipsy o smaku ketchupu,10.59,Delikatesy,4-5,Półka 4, Przekąski delikatesowe
Chipsy o smaku sera,10.81,Delikatesy,4-5,Półka 4, Przekąski delikatesowe
Chipsletten paprykowe,8.74,Delikatesy,4-5,Półka 4, Przekąski delikatesowe
Orzechy nerkowca,29.99,Delikatesy,4-5,Półka 4, Przekąski delikatesowe
Migdały prażone,27.99,Delikatesy,4-5,Półka 4, Przekąski delikatesowe
Pistacje solone,28.99,Delikatesy,4-5,Półka 4, Przekąski delikatesowe
Orzechy makadamia,29.99,Delikatesy,4-5,Półka 4, Przekąski delikatesowe
Mix orzechów,25.99,Delikatesy,4-5,Półka 4, Przekąski delikatesowe
Pestki dyni,15.99,Delikatesy,4-5,Półka 4, Przekąski delikatesowe
Pestki słonecznika,12.99,Delikatesy,4-5,Półka 4, Przekąski delikatesowe
Chipsy warzywne,13.99,Delikatesy,4-5,Półka 4, Przekąski delikatesowe
Nachos serowe,14.99,Delikatesy,4-5,Półka 4, Przekąski delikatesowe
Paluszki krewetkowe,18.99,Delikatesy,4-5,Półka 4, Przekąski delikatesowe
Krążki cebulowe,16.99,Delikatesy,4-5,Półka 4, Przekąski delikatesowe
Wasabi mix,19.99,Delikatesy,4-5,Półka 4, Przekąski delikatesowe
Prażona ciecierzyca,15.99,Delikatesy,4-5,Półka 4, Przekąski delikatesowe
Mix studencki,22.99,Delikatesy,4-5,Półka 4, Przekąski delikatesowe
Orzechy ziemne w miodzie,17.99,Delikatesy,4-5,Półka 4, Przekąski delikatesowe
Orzechy w karmelu,19.99,Delikatesy,4-5,Półka 4, Przekąski delikatesowe
Chipsy kokosowe,16.99,Delikatesy,4-5,Półka 4, Przekąski delikatesowe
Suszone pomidory,24.99,Delikatesy,4-5,Półka 4, Przekąski delikatesowe
Oliwki zielone,13.99,Delikatesy,4-5,Półka 4, Przekąski delikatesowe
Oliwki czarne,13.99,Delikatesy,4-5,Półka 4, Przekąski delikatesowe
Kapary,11.99,Delikatesy,4-5,Półka 4, Przekąski delikatesowe
Mix śródziemnomorski,26.99,Delikatesy,4-5,Półka 4, Przekąski delikatesowe
Suszone morele,21.99,Delikatesy,4-5,Półka 4, Przekąski delikatesowe
Rodzynki w czekoladzie,18.99,Delikatesy,4-5,Półka 4, Przekąski delikatesowe
Żurawina suszona,19.99,Delikatesy,4-5,Półka 4, Przekąski delikatesowe
Daktyle suszone,17.99,Delikatesy,4-5,Półka 4, Przekąski delikatesowe
Figi suszone,20.99,Delikatesy,4-5,Półka 4, Przekąski delikatesowe
Chipsy bananowe,14.99,Delikatesy,4-5,Półka 4, Przekąski delikatesowe
Wafle ryżowe,10.99,Delikatesy,4-5,Półka 4, Przekąski delikatesowe
Krakersy wieloziarniste,12.99,Delikatesy,4-5,Półka 4, Przekąski delikatesowe
Paluszki grissini,11.99,Delikatesy,4-5,Półka 4, Przekąski delikatesowe
Precelki,10.99,Delikatesy,4-5,Półka 4, Przekąski delikatesowe
Mini bagietki,13.99,Delikatesy,4-5,Półka 4, Przekąski delikatesowe
Tartaletki,15.99,Delikatesy,4-5,Półka 4, Przekąski delikatesowe
Mini wrapy,22.99,Delikatesy,4-5,Półka 4, Przekąski delikatesowe
Hummus klasyczny,14.99,Delikatesy,4-5,Półka 4, Przekąski delikatesowe
